Player,Role,Amount,Team,Year,Player Origin
Brendan Taylor,Batter,3000000,SRH,2014,Overseas
Brendon McCullum,Batter,32500000,CSK,2014,Overseas
Brendon McCullum,Batter,36000000,RCB,2018,Overseas
C Hari Nishaanth,Batter,2000000,CSK,2021,Indian
C.Hari Nishaanth,Batter,2000000,CSK,2022,Indian
C.M. Gautam,Batter,2000000,MI,2014,Indian
C.M. Gautam,Batter,2000000,DC,2015,Indian
Cameron Delport,All-Rounder,3000000,KKR,2018,Overseas
Carlos Brathwaite,All-Rounder,42000000,DC,2016,Overseas
Carlos Brathwaite,All-Rounder,20000000,SRH,2018,Overseas
Carlos Brathwaite,All-Rounder,50000000,KKR,2019,Overseas
Chaitanya Bishnoi,All-Rounder,2000000,CSK,2018,Indian
Chama Milind,Bowler,1000000,SRH,2014,Indian
Chama Milind,Bowler,1000000,DC,2016,Indian
Chama Milind,Bowler,2500000,RCB,2022,Indian
Chamika Karunaratne,All-Rounder,5000000,KKR,2022,Overseas
Chetan Sakariya,Bowler,12000000,RR,2021,Indian
Chetan Sakariya,Bowler,42000000,DC,2022,Indian
Cheteshwar Pujara,Batter,19000000,PBKS,2014,Indian
Cheteshwar Pujara,Batter,5000000,CSK,2021,Indian
Chirag Suri,Batter,1000000,GL,2017,Indian
Chris Green,All-Rounder,2000000,KKR,2020,Overseas
Chris Jordan,All-Rounder,5000000,SRH,2017,Overseas
Chris Jordan,All-Rounder,10000000,SRH,2018,Overseas
Chris Jordan,All-Rounder,30000000,PBKS,2020,Overseas
Chris Jordan,All-Rounder,36000000,CSK,2022,Overseas
Chris Lynn,Batter,13000000,KKR,2014,Overseas
Chris Lynn,Batter,96000000,KKR,2018,Overseas
Chris Lynn,Batter,20000000,MI,2020,Overseas
Chris Woakes,All-Rounder,42000000,KKR,2017,Overseas
Chris Woakes,All-Rounder,74000000,RCB,2018,Overseas
Chris Woakes,All-Rounder,15000000,DC,2020,Overseas
Christopher Barnwell,All-Rounder,3750000,RCB,2013,Overseas
Christopher Gayle,Batter,20000000,PBKS,2018,Overseas
Christopher Morris,All-Rounder,46875000,CSK,2013,Overseas
Christopher Morris,All-Rounder,14000000,RR,2015,Overseas
Christopher Morris,All-Rounder,70000000,DC,2016,Overseas
Christopher Morris,All-Rounder,100000000,RCB,2020,Overseas
Christopher Morris,All-Rounder,162500000,RR,2021,Overseas
Clinton McKay,Bowler,7500000,SRH,2013,Overseas
Colin De Grandhomme,All-Rounder,22000000,RCB,2018,Overseas
Colin Ingram,Batter,64000000,DC,2019,Overseas
Colin Munro,All-Rounder,3000000,KKR,2016,Overseas
Colin Munro,All-Rounder,19000000,DC,2018,Overseas
Corey Anderson,All-Rounder,45000000,MI,2014,Overseas
Corey Anderson,All-Rounder,10000000,DC,2017,Overseas
Dale Steyn,Bowler,23000000,GL,2016,Overseas
