Player,Role,Amount,Team,Year,Player Origin
Varun Chakaravarthy,All-Rounder,40000000,KKR,2020,Indian
Veer Pratap Singh,Bowler,4000000,KKR,2014,Indian
Venkatesh Iyer,All-Rounder,2000000,KKR,2021,Indian
Venugopal Rao,Batter,5500000,SRH,2014,Indian
Vicky Ostwal,All-Rounder,2000000,DC,2022,Indian
Vijay Shankar,All-Rounder,1000000,CSK,2014,Indian
Vijay Shankar,All-Rounder,3500000,SRH,2016,Indian
Vijay Shankar,All-Rounder,32000000,DC,2018,Indian
Vijay Shankar,All-Rounder,14000000,GT,2022,Indian
Vijay Zol,Batter,3000000,RCB,2014,Indian
Vikas Tokas,Bowler,1000000,RCB,2016,Indian
Vikramjeet Malik,Bowler,2000000,RR,2014,Indian
Vikramjeet Malik,Bowler,2000000,RCB,2016,Indian
Virat Singh,Batter,19000000,SRH,2020,Indian
Virender Sehwag,Batter,32000000,PBKS,2014,Indian
Vishnu Vinod,Batter,2000000,DC,2021,Indian
Vishnu Vinod,Batter,5000000,SRH,2022,Indian
Wanindu Hasaranga,All-Rounder,107500000,RCB,2022,Overseas
Washington Sundar,All-Rounder,87500000,SRH,2022,Indian
Wayne Parnell,Bowler,10000000,DC,2014,Overseas
Wriddhiman Saha,Batter,22000000,PBKS,2014,Indian
Wriddhiman Saha,Batter,50000000,SRH,2018,Indian
Wriddhiman Saha,Batter,12000000,SRH,2019,Indian
Wriddhiman Saha,Batter,19000000,GT,2022,Indian
Writtick Chatterjee,All-Rounder,2000000,PBKS,2022,Indian
Yash Dayal,Bowler,32000000,GT,2022,Indian
Yash Dhull,All-Rounder,5000000,DC,2022,Indian
Yashasvi Jaiswal,All-Rounder,24000000,RR,2020,Indian
Yogesh Gowalkar,All-Rounder,1000000,PBKS,2015,Indian
Yogesh Takawale,Batter,1000000,RCB,2014,Indian
Yudhvir Charak,All-Rounder,2000000,MI,2021,Indian
Yusuf Pathan,All-Rounder,32500000,KKR,2014,Indian
Yusuf Pathan,All-Rounder,19000000,SRH,2018,Indian
Yuvraj Singh,All-Rounder,140000000,RCB,2014,Indian
Yuvraj Singh,Batter,160000000,DC,2015,Indian
Yuvraj Singh,All-Rounder,70000000,SRH,2016,Indian
Yuvraj Singh,All-Rounder,20000000,PBKS,2018,Indian
Yuvraj Singh,All-Rounder,10000000,MI,2019,Indian
Yuzvendra Chahal,Bowler,65000000,RR,2022,Indian
Yuzvendra Singh Chahal,Bowler,1000000,RCB,2014,Indian
Yuzvendra Singh Chahal,Bowler,60000000,RCB,2018,Indian
Zaheer Khan,Bowler,26000000,MI,2014,Indian
Zaheer Khan,Bowler,40000000,DC,2015,Indian
Zahir Khan Pakteen,Bowler,6000000,RR,2018,Indian
