Rishi Dhawan,127,98,45,1651,72*,31.15,1352,122.11,0,4,152,39,32,0,127,119,2352,2965,116,6/23,6/23,25.56,7.56,20.2,1,1,0
Aditya Garhwal,34,34,2,475,52,14.84,383,124.02,0,1,62,12,5,0,34,7,96,102,6,2/7,2/7,17.00,6.37,16.0,0,0,0
Kagiso Rabada,178,70,33,418,44,11.29,396,105.55,0,0,37,13,60,0,178,176,3925,5271,230,4/21,4/21,22.91,8.05,17.0,7,0,0
George Bailey
Hardik Pandya,244,212,62,4425,91,29.50,3183,139.01,0,17,321,229,120,0,244,190,3175,4309,152,4/16,4/16,28.34,8.14,20.8,3,0,0
Ruturaj Gaikwad,122,117,12,4035,123*,38.42,2905,138.89,5,27,383,157,61,3,122,0,0,0,0,0,0,0,0,0,0,0,0
Sheldon Cottrell,141,44,16,201,26*,7.17,175,114.85,0,0,14,13,59,0,141,138,2887,3773,166,4/20,4/20,22.72,7.84,17.3,2,0,0
Jacob Oram,105,85,18,1111,66*,16.58,881,126.10,0,4,80,55,35,0,105,94,1839,2406,81,5/14,5/14,29.70,7.84,22.7,0,1,0
Agnivesh Ayachi
Priyam Garg,46,39,3,623,59*,17.30,544,114.52,0,3,46,18,19,0,46,0,0,0,0,0,0,0,0,0,0,0,0
Dhawal Kulkarni,162,46,25,225,28*,10.71,225,100.00,0,0,19,4,35,0,162,161,3285,4311,154,4/14,4/14,27.99,7.87,21.3,2,0,0
Adam Milne,161,71,38,401,22,12.15,341,117.59,0,0,24,14,45,0,161,156,3323,4274,182,5/11,5/11,23.48,7.71,18.2,4,2,0
Kane Williamson,246,236,37,6304,101*,31.67,5139,122.66,1,44,571,159,108,0,246,54,770,909,30,3/33,3/33,30.30,7.08,25.6,0,0,0
Vicky Ostwal,6,1,1,1,1*,0,3,33.33,0,0,0,0,2,0,6,6,130,123,6,2/9,2/9,20.50,5.67,21.6,0,0,0
Bipul Sharma,105,77,26,1203,79*,23.58,868,138.59,0,3,81,55,30,0,105,93,1776,1847,84,4/28,4/28,21.98,6.23,21.1,1,0,0
Kyle Abbott,156,54,30,324,30,13.50,275,117.81,0,0,23,10,33,0,156,153,3252,4484,157,5/14,5/14,28.56,8.27,20.7,1,1,0
Kane Richardson,183,62,28,392,45,11.52,344,113.95,0,0,26,13,70,0,183,178,3815,5192,229,4/22,4/22,22.67,8.16,16.6,7,0,0
Subramaniam Badrinath
Yash Dhull,19,18,5,588,73,45.23,462,127.27,0,4,58,17,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0
Rahul Tewatia,135,102,39,1726,59*,27.39,1209,142.76,0,3,150,78,53,0,135,92,1474,1818,69,3/4,3/4,26.34,7.40,21.3,0,0,0
Pragyan Ojha,142,38,20,75,11*,4.16,108,69.44,0,0,0,3,21,0,142,139,2897,3492,156,4/15,4/15,22.38,7.23,18.5,3,0,0
Krismar Santokie
Colin De Grandhomme,253,229,50,4110,86,22.96,2641,155.62,0,15,292,239,103,0,253,152,2024,3170,81,3/4,3/4,39.13,9.39,24.9,0,0,0
Anuj Rawat,57,49,9,961,88*,24.02,819,117.33,0,4,79,44,49,10,57,0,0,0,0,0,0,0,0,0,0,0,0
Nathu Singh,19,5,3,1,1*,0.50,5,20.00,0,0,0,0,2,0,19,19,404,374,30,4/13,4/13,12.46,5.55,13.4,2,0,0
Aneeshwar Gautam
Tom Banton,122,120,4,2779,107*,23.95,1941,143.17,2,16,288,126,67,8,122,0,0,0,0,0,0,0,0,0,0,0,0
Mayank Agarwal,200,194,13,4674,111,25.82,3493,133.81,2,27,473,163,82,0,200,1,6,8,0,0,0,0,8.00,0,0,0,0
Aiden Markram,128,118,20,3257,100,33.23,2442,133.37,1,22,281,114,65,0,128,58,730,888,30,3/21,3/21,29.60,7.29,24.3,0,0,0
Tom Curran,194,121,41,1725,67*,21.56,1211,142.44,0,5,154,63,58,0,194,173,3535,5185,205,4/22,4/22,25.29,8.80,17.2,3,0,0
Harshal Patel,178,100,26,1235,82,16.68,855,144.44,0,4,123,67,39,0,178,173,3630,4991,209,5/27,5/27,23.88,8.24,17.3,3,1,0
Noor Ahmad
N. Tilak Varma
Sam Curran,201,162,30,2687,72*,20.35,2005,134.01,0,15,201,130,75,0,201,194,3784,5459,192,5/10,5/10,28.43,8.65,19.7,4,3,0
Kishore Pramod Kamath
Jason Behrendorff,138,30,19,150,26,13.63,143,104.89,0,0,7,5,46,0,138,135,2917,3621,163,4/21,4/21,22.21,7.44,17.8,2,0,0
Brendan Taylor,174,168,22,3911,140*,26.78,3155,123.96,2,25,380,108,65,14,174,8,150,152,8,3/38,3/38,19.00,6.08,18.7,0,0,0
Simarjeet Singh,26,6,4,9,3*,4.50,13,69.23,0,0,0,0,3,0,26,26,501,626,28,3/21,3/21,22.35,7.49,17.8,0,0,0
Venugopal Rao,83,71,12,1390,71*,23.55,1142,121.71,0,7,107,50,17,0,83,25,306,448,8,2/23,2/23,56.00,8.78,38.2,0,0,0
Debabrata Das,57,44,18,728,78*,28.00,567,128.39,0,2,57,33,18,0,57,0,0,0,0,0,0,0,0,0,0,0,0
Darren Sammy
Sachin Baby,98,81,14,1925,79,28.73,1471,130.86,0,10,158,61,40,0,98,18,200,261,8,2/4,2/4,32.62,7.82,25.0,0,0,0
Brad Hogg,141,47,24,351,54,15.26,333,105.40,0,1,18,8,32,0,141,137,3005,3465,140,4/9,4/9,24.75,6.91,21.4,5,0,0
J Suchith
Ankit Nagendra Sharma
Alex Hales,419,416,31,11549,119*,29.99,7864,146.85,6,74,1290,450,208,0,419,2,3,7,0,0,0,0,14.00,0,0,0,0
Shubham Garhwal,5,5,1,22,7,5.50,21,104.76,0,0,2,1,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Marchant De Lange,138,59,24,398,28*,11.37,299,133.11,0,0,31,19,35,0,138,134,2681,3884,154,5/20,5/20,25.22,8.69,17.4,4,1,0
Jaydev Unadkat,180,69,37,521,58*,16.28,388,134.27,0,1,36,26,50,0,180,179,3865,5126,218,5/25,5/25,23.51,7.95,17.7,3,2,0
Sachin Rana,42,38,9,654,62,22.55,587,111.41,0,2,54,18,20,0,42,23,357,403,20,3/22,3/22,20.15,6.77,17.8,0,0,0
Jhye Richardson,85,43,22,327,33*,15.57,297,110.10,0,0,22,12,27,0,85,84,1851,2417,112,4/9,4/9,21.58,7.83,16.5,5,0,0
Robin Uthappa,291,282,24,7272,92,28.18,5464,133.08,0,42,720,267,131,39,291,1,6,11,0,0,0,0,11.00,0,0,0,0
David Miller
Parvinder Awana,61,13,8,22,8*,4.40,43,51.16,0,0,2,1,10,0,61,61,1359,1723,77,4/30,4/30,22.37,7.60,17.6,2,0,0
Faf Du Plessis,347,327,35,9448,120*,32.35,7077,133.50,5,62,842,327,174,0,347,52,790,917,50,5/19,5/19,18.34,6.96,15.8,1,2,0
Akila Dhananjaya
K.Bhagath Varma
Jofra Archer,135,67,32,560,36,16.00,385,145.45,0,0,41,24,38,0,135,132,3024,3888,169,4/18,4/18,23.00,7.71,17.8,2,0,0
Mitchell McClenaghan,203,77,34,271,20,6.30,235,115.31,0,0,17,15,34,0,203,199,4337,6172,241,5/29,5/29,25.60,8.53,17.9,2,1,0
Wriddhiman Saha,246,218,35,4519,129,24.69,3523,128.27,2,24,440,140,137,37,246,0,0,0,0,0,0,0,0,0,0,0,0
