Rachin Ravindra,53.0,45.0,7.0,618.0,67.0,16.26,503.0,122.86,0,1.0,50,20,21.0,0,53.0,48.0,888.0,1104.0,41.0,0,0,26.92,7.45,21.6,0,0,0
KS Bharat,74.0,69.0,5.0,1266.0,78.0,19.78,1142.0,110.85,0,6.0,110,47.0,54.0,14.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,126.0,125.0,6.0,3439.0,87.0,28.89,2538.0,135.5,0,28.0,296.0,149.0,50,7.0,126.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0
Tristan Stubbs,59.0,54.0,9.0,1119.0,80,24.86,760,147.23,0,4.0,62.0,68.0,24.0,0,59.0,15.0,159.0,236.0,6.0,0,0,39.33,8.9,26.5,0,0,0
Dilshan Madushanka,28.0,8.0,3.0,21.0,12.0,4.2,40,52.5,0,0,1.0,1.0,5.0,0,28.0,28.0,526.0,801.0,29.0,0,0,27.62,9.13,18.1,0,0,0
Shivam Mavi,52.0,19.0,5.0,85.0,26.0,6.07,90,94.44,0,0,6.0,4.0,22.0,0,52.0,52.0,1014.0,1405.0,53.0,0,0,26.5,8.31,19.1,3.0,0,0
Chetan Sakariya,46.0,10,3.0,25.0,7.0,3.57,42.0,59.52,0,0,3.0,0,13.0,0,46.0,45.0,1022.0,1311.0,65.0,0,0,20.16,7.69,15.7,2.0,1.0,0
Jaydev Unadkat,180,69.0,37.0,521.0,58.0,16.28,388.0,134.27,0,1.0,36.0,26.0,50,0,180,179.0,3865.0,5126.0,218.0,0,0,23.51,7.95,17.7,3.0,2.0,0
Akeal Hosein,123.0,63.0,29.0,558.0,44.0,16.41,496.0,112.5,0,0,31.0,27.0,29.0,0,123.0,112.0,2348.0,2640,102.0,0,0,25.88,6.74,23.0,2.0,0,0
Waqar Salamkheil,33.0,6.0,6.0,15.0,6.0,0,19.0,78.94,0,0,2.0,0,5.0,0,33.0,33.0,738.0,949.0,47.0,0,0,20.19,7.71,15.7,3.0,0,0
Tabraiz Shamsi,232.0,47.0,28.0,82.0,15.0,4.31,152.0,53.94,0,0,2.0,1.0,31.0,0,232.0,226.0,4867.0,5926.0,269.0,0,0,22.02,7.3,18.0,7.0,1.0,0
Alick Athanaze,8.0,8.0,1.0,165.0,76.0,23.57,152.0,108.55,0,1.0,14.0,5.0,5.0,0,8.0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Chapman,139.0,125.0,18.0,2873.0,104.0,26.85,2148.0,133.75,2.0,18.0,246.0,104.0,46.0,0,139.0,36.0,455.0,594.0,22.0,0,0,27.0,7.83,20.6,0,0,0
Reeza Hendricks,189.0,176.0,20,5497.0,108.0,35.23,4331.0,126.92,4.0,39.0,543.0,134.0,76.0,0,189.0,9.0,120,136.0,4.0,0,0,34.0,6.8,30,0,0,0
Najibullah Zadran,198.0,178.0,45.0,3628.0,97.0,27.27,2634.0,137.73,0,18.0,250,199.0,80,0,198.0,2.0,12.0,8.0,1.0,0,0,8.0,4.0,12.0,0,0,0
