Player,Player Origin,Role,Base Price
Shashank Singh,Indian,All-Rounder,20,00,000
Swapnil Singh,Indian,All-Rounder,20,00,000
Prenelan Subrayen,Overseas,All-Rounder,20,00,000
Ravi Teja,Indian,All-Rounder,20,00,000
Tanay Thyagarajann,Indian,All-Rounder,20,00,000
Akash Vashisht,Indian,All-Rounder,20,00,000
Mohit Ahlawat,Indian,Batter,20,00,000
G. Ajitesh,Indian,Batter,20,00,000
Avanish Rao Aravelly,Indian,Batter,20,00,000
L.R. Chethan,Indian,Batter,20,00,000
Gourav Choudhary,Indian,Batter,20,00,000
Harvik Desai,Indian,Batter,20,00,000
Shakir Gandhi,Indian,Batter,20,00,000
Sumit Ghadigaonkar,Indian,Batter,20,00,000
Baba Indrajith,Indian,Batter,20,00,000
Bhagmender Lather,Indian,Batter,20,00,000
Anmol Malhotra,Indian,Batter,20,00,000
Robin Minz,Indian,Batter,20,00,000
Darshan Misal,Indian,Batter,20,00,000
Nikhil Naik,Indian,Batter,20,00,000
Prasad Pawar,Indian,Batter,20,00,000
Mahesh Pithiya,Indian,Batter,20,00,000
William Salzmann,Overseas,Batter,20,00,000
Bipin Saurabh,Indian,Batter,20,00,000
B.R. Sharath,Indian,Batter,20,00,000
K.L. Shrijith,Indian,Batter,20,00,000
Avneesh Sudha,Indian,Batter,20,00,000
Aditya Tare,Indian,Batter,20,00,000
Nihal Ullal,Indian,Batter,20,00,000
K.M Asif,Indian,Bowler,20,00,000
Mohit Avasthi,Indian,Bowler,20,00,000
Ottneil Baartman,Overseas,Bowler,20,00,000
Basit Bashir,Indian,Bowler,20,00,000
Waseem Bashir,Indian,Bowler,20,00,000
Sachin Bhosale,Indian,Bowler,20,00,000
Devendra Singh Bora,Indian,Bowler,20,00,000
Gurnoor Singh Brar,Indian,Bowler,20,00,000
Nandre Burger,Overseas,Bowler,20,00,000
Saurabh Dubey,Indian,Bowler,20,00,000
Mrinmoy Dutta,Indian,Bowler,20,00,000
Vishal Godara,Indian,Bowler,20,00,000
Money Grewal,Indian,Bowler,20,00,000
Arpit Guleria,Indian,Bowler,20,00,000
Mukhtar Hussain,Indian,Bowler,20,00,000
Sakib Hussain,Indian,Bowler,20,00,000
Shamar Joseph,Overseas,Bowler,20,00,000
Mohammed Kaif,Indian,Bowler,20,00,000
Shubham Kapse,Indian,Bowler,20,00,000
Devang Karamta,Indian,Bowler,20,00,000
Kulwant Khejroliya,Indian,Bowler,20,00,000
Ravi Kumar,Indian,Bowler,20,00,000
Ashwani Kumar,Indian,Bowler,20,00,000
Raj Limbani,Indian,Bowler,20,00,000
Kwena Maphaka,Overseas,Bowler,20,00,000
Lukman Hussain Meriwala,Indian,Bowler,20,00,000
Venkatesh Muralidhara,Indian,Bowler,20,00,000
William O'Rourke,Overseas,Bowler,20,00,000
Rakshan Readdi,Indian,Bowler,20,00,000
Manish Reddy,Indian,Bowler,20,00,000
Monish Reddy,Indian,Bowler,20,00,000
Akhin Sathar,Indian,Bowler,20,00,000
Divesh Sharma,Indian,Bowler,20,00,000
Ashok Sharma,Indian,Bowler,20,00,000
Abhilash Shetty,Indian,Bowler,20,00,000
Rahul Shukla,Indian,Bowler,20,00,000
Manit Singh,Indian,Bowler,20,00,000
Gurjapneet Singh,Indian,Bowler,20,00,000
Paul Van Meekeren,Overseas,Bowler,20,00,000
Nitin Verma,Indian,Bowler,20,00,000
Chris Wood,Overseas,Bowler,20,00,000
Gourav Yadav,Indian,Bowler,20,00,000
Prithvi Raj Yarra,Indian,Bowler,20,00,000
Mujtaba Yousuf,Indian,Bowler,20,00,000
Shubham Agrawal,Indian,Bowler,20,00,000
Mustaq Beg,Indian,Bowler,20,00,000
K.C Cariappa,Indian,Bowler,20,00,000
Ganesh Chaudhary,Indian,Bowler,20,00,000
Prince Choudhary,Indian,Bowler,20,00,000
Yuvraj Chudasama,Indian,Bowler,20,00,000
Jasmer Dhankhar,Indian,Bowler,20,00,000
Chintal Gandhi,Indian,Bowler,20,00,000
Allah Ghazanfar,Overseas,Bowler,20,00,000
Raghav Goyal,Indian,Bowler,20,00,000
Shreyas Gurav,Indian,Bowler,20,00,000
Vishu Kashyap,Indian,Bowler,20,00,000
Bhuwan Rohilla,Indian,Bowler,20,00,000
Shivam Sharma,Indian,Bowler,20,00,000
Digvesh Singh,Indian,Bowler,20,00,000
Jhathavedh Subramanyan,Indian,Bowler,20,00,000
Jagadeesha Suchith,Indian,Bowler,20,00,000
B. Surya,Indian,Bowler,20,00,000
Pankaj Yadav,Indian,Bowler,20,00,000
