Priyansh Arya,9,9,0,248,81,27.55,160,155.00,0,2,29,13,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0
Saurav Chuahan
Shubham Dubey,20,19,6,485,58,37.30,334,145.20,0,1,26,30,3,0,20,0,0,0,0,0,0,0,0,0,0,0,0
Rohan Kunnummal,27,27,4,771,101,33.52,623,123.75,1,4,95,16,11,0,27,0,0,0,0,0,0,0,0,0,0,0,0
Angkrish Raghuvanshi,7,7,1,138,32,23.00,119,115.96,0,0,11,6,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Sameer Rizvi,11,9,3,295,75,49.16,219,134.70,0,2,20,18,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0
Manan Vohra,125,120,11,3257,106,29.88,2539,128.27,1,20,322,115,39,0,125,0,0,0,0,0,0,0,0,0,0,0,0
Raj Angad Bawa
Mohd. Arshad Khan
Sarfaraz Khan,96,74,21,1188,67,22.41,926,128.29,0,3,116,33,38,0,96,2,8,9,0,0,0,0,6.75,0,0,0,0
Arshin Kulkarni,6,5,0,121,47,24.20,74,163.51,0,0,10,9,1,0,6,6,114,183,4,2/22,2/22,45.75,9.63,28.5,0,0,0
Vivrant Sharma,17,14,0,309,69,22.07,248,124.59,0,3,36,10,6,0,17,7,82,105,8,4/13,4/13,13.12,7.68,10.2,1,0,0
Atit Sheth,54,28,19,203,29,22.55,169,120.11,0,0,17,6,12,0,54,53,1083,1371,75,5/13,5/13,18.28,7.59,14.4,2,1,0
Hrithik Shokeen,18,7,4,70,25,23.33,66,106.06,0,0,10,0,5,0,18,18,271,386,12,2/5,2/5,32.16,8.54,22.5,0,0,0
Ramandeep Singh,38,25,9,325,54,20.31,209,155.50,0,1,20,21,17,0,38,15,168,228,13,3/20,3/20,17.53,8.14,12.9,0,0,0
Ricky Bhui,62,60,14,1497,108,32.54,1082,138.35,2,7,98,87,13,0,62,1,18,18,0,0,0,0,6.00,0,0,0,0
Kumar Kushagra,11,11,2,140,33,15.55,119,117.64,0,0,7,7,8,1,11,0,0,0,0,0,0,0,0,0,0,0,0
Urvil Patel,41,41,1,847,96,21.17,545,155.41,0,4,112,25,32,5,41,0,0,0,0,0,0,0,0,0,0,0,0
Vishnu Solanki,62,55,14,1245,71,30.36,998,124.74,0,6,99,46,31,5,62,1,6,9,0,0,0,0,9.00,0,0,0,0
Rasikh Dar
Yash Dayal,42,6,4,10,4,5.00,14,71.42,0,0,1,0,3,0,42,42,805,1102,38,3/40,3/40,29.00,8.21,21.1,0,0,0
Sushant Mishra,4,1,1,0,0,0,0,0,0,0,0,0,3,0,4,4,96,150,7,4/28,4/28,21.42,9.37,13.7,1,0,0
Ishan Porel,29,1,1,2,2,0,5,40.00,0,0,0,0,1,0,29,29,617,738,40,4/24,4/24,18.45,7.17,15.4,2,0,0
Akash Singh
Kartik Tyagi,32,7,3,13,7,3.25,16,81.25,0,0,1,0,3,0,32,32,621,952,25,2/23,2/23,38.08,9.19,24.8,0,0,0
Kuldip Yadav
Murgan Ashwin
Shreyas Gopal,94,39,11,471,48,16.82,395,119.24,0,0,47,8,24,0,94,91,1732,2181,107,5/11,5/11,20.38,7.55,16.1,4,2,0
Pulkit Narang,21,9,6,58,25,19.33,54,107.40,0,0,5,2,7,0,21,21,388,424,25,3/18,3/18,16.96,6.55,15.5,0,0,0
M. Siddharth
Shiva Singh,22,8,5,42,18,14.00,31,135.48,0,0,0,3,10,0,22,22,445,510,12,3/20,3/20,42.50,6.87,37.0,0,0,0
Manav Suthar,7,3,0,23,16,7.66,18,127.77,0,0,2,1,1,0,7,7,126,151,4,2/15,2/15,37.75,7.19,31.5,0,0,0
Dinesh Bana,8,8,0,114,43,14.25,103,110.67,0,0,9,5,6,3,8,0,0,0,0,0,0,0,0,0,0,0,0
Swastik Chhikara
Rajat Dey,35,33,8,627,82,25.08,478,131.17,0,2,37,30,6,0,35,3,19,35,1,1/17,1/17,35.00,11.05,19.0,0,0,0
Abhimanyu Easwaran,34,33,7,976,107,37.53,759,128.59,1,5,84,25,9,0,34,0,0,0,0,0,0,0,0,0,0,0,0
Rithik Easwaran
Chirag Gandhi,73,61,20,1266,80,30.87,1011,125.22,0,7,100,39,38,0,73,0,0,0,0,0,0,0,0,0,0,0,0
Nikhil Gangta,49,37,6,826,108,26.64,594,139.05,1,5,84,26,15,0,49,10,77,121,2,1/10,1/10,60.50,9.42,38.5,0,0,0
Sudip Gharami,13,12,1,321,68,29.18,252,127.38,0,2,30,8,5,0,13,0,0,0,0,0,0,0,0,0,0,0,0
Ansh Gosai
Azim Kazi,45,35,14,628,71,29.90,517,121.47,0,1,43,29,10,0,45,38,723,831,35,3/18,3/18,23.74,6.89,20.6,0,0,0
Amandeep Khare,48,45,9,1410,90,39.16,1136,124.11,0,9,125,43,16,0,48,1,2,3,0,0,0,0,9.00,0,0,0,0
Ankit Kumar
Bhupen Lalwani
Pukhraj Mann,4,3,2,39,21,39.00,30,130.00,0,0,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Tanmay Mishra,26,25,0,421,68,16.84,430,97.90,0,1,30,12,7,0,26,4,42,58,3,3/25,3/25,19.33,8.28,14.0,0,0,0
Salman Nizar,21,16,9,281,57,40.14,204,137.74,0,1,16,17,12,0,21,0,0,0,0,0,0,0,0,0,0,0,0
Priyank Panchal,59,58,5,1522,79,28.71,1188,128.11,0,9,166,37,30,0,59,6,66,83,4,4/19,4/19,20.75,7.54,16.5,1,0,0
Akshat Raghuwanshi,7,7,2,63,24,12.60,48,131.25,0,0,7,2,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Ekant Sen,32,28,6,629,70,28.59,488,128.89,0,3,65,25,8,0,32,0,0,0,0,0,0,0,0,0,0,0,0
Subhranshu Senapati,39,37,4,1082,119,32.78,861,125.66,1,4,81,47,17,0,39,0,0,0,0,0,0,0,0,0,0,0,0
Naushad Shaikh,45,43,10,942,78,28.54,761,123.78,0,5,82,21,28,1,45,16,227,223,12,3/9,3/9,18.58,5.89,18.9,0,0,0
Dhruv Shorey,48,44,7,1030,84,27.83,872,118.11,0,8,87,34,24,0,48,1,6,9,0,0,0,0,9.00,0,0,0,0
Himmat Singh
Virat Singh,79,77,14,2249,103,35.69,1765,127.42,1,14,220,63,32,0,79,5,60,87,1,1/13,1/13,87.00,8.70,60.0,0,0,0
Shashank Singh,55,44,8,724,61,20.11,533,135.83,0,5,59,30,14,0,55,23,318,434,15,3/4,3/4,28.93,8.18,21.2,0,0,0
Sumeet Verma,47,39,6,539,58,16.33,397,135.76,0,5,42,29,17,0,47,16,168,201,4,1/6,1/6,50.25,7.17,42.0,0,0,0
P.A. Abdul
Murugan Abhishek
Atharva Ankolekar,12,8,3,76,37,15.20,60,126.66,0,0,1,5,4,0,12,10,222,215,6,2/19,2/19,35.83,5.81,37.0,0,0,0
